,実験分類,区分,名称,宿主（誘導体含む）,備考・ベクター（誘導体含む）
591,2,-,寄生虫,Nanophyetus属全種,哺乳動物等に対する病原性がないも のを除く。
592,2,-,寄生虫,Necator属全種,哺乳動物等に対する病原性がないも のを除く。
593,2,-,寄生虫,Nematodirus属全種,哺乳動物等に対する病原性がないも のを除く。
594,2,-,寄生虫,Nippostrongylus brasiliensis,哺乳動物等に対する病原性がないも のを除く。
595,2,-,寄生虫,Notocotylus属全種,哺乳動物等に対する病原性がないも のを除く。
596,2,-,寄生虫,Oesophagodontus属全種,哺乳動物等に対する病原性がないも のを除く。
597,2,-,寄生虫,Oesophagostomum属全種,哺乳動物等に対する病原性がないも のを除く。
598,2,-,寄生虫,Oestrus属全種,哺乳動物等に対する病原性がないも のを除く。
599,2,-,寄生虫,Ollulanus属全種,哺乳動物等に対する病原性がないも のを除く。
600,2,-,寄生虫,Onchocerca属全種,哺乳動物等に対する病原性がないも のを除く。
601,2,-,寄生虫,Opisthorchis属全種,哺乳動物等に対する病原性がないも のを除く。
602,2,-,寄生虫,Ornithobilharzia属全種,哺乳動物等に対する病原性がないも のを除く。
603,2,-,寄生虫,Orthocoelium属全種,哺乳動物等に対する病原性がないも のを除く。
604,2,-,寄生虫,Osteophagostomum属全種,哺乳動物等に対する病原性がないも のを除く。
605,2,-,寄生虫,Ostertagia属全種,哺乳動物等に対する病原性がないも のを除く。
606,2,-,寄生虫,Oxyspirura属全種,哺乳動物等に対する病原性がないも のを除く。
607,2,-,寄生虫,Oxyuris属全種,哺乳動物等に対する病原性がないも のを除く。
608,2,-,寄生虫,Parafilaria属全種,哺乳動物等に対する病原性がないも のを除く。
609,2,-,寄生虫,Paragonimus属全種,哺乳動物等に対する病原性がないも のを除く。
610,2,-,寄生虫,Paramphistomum属全種,哺乳動物等に対する病原性がないも のを除く。
611,2,-,寄生虫,Paranoplocephala属全種,哺乳動物等に対する病原性がないも のを除く。
612,2,-,寄生虫,Parascaris属全種,哺乳動物等に対する病原性がないも のを除く。
613,2,-,寄生虫,Paryphostomum属全種,哺乳動物等に対する病原性がないも のを除く。
614,2,-,寄生虫,Passalurus属全種,哺乳動物等に対する病原性がないも のを除く。
615,2,-,寄生虫,Pharyngostomum属全種,哺乳動物等に対する病原性がないも のを除く。
616,2,-,寄生虫,Philometra属全種,哺乳動物等に対する病原性がないも のを除く。
617,2,-,寄生虫,Philometroides属全種,哺乳動物等に対する病原性がないも のを除く。
618,2,-,寄生虫,Physaloptera属全種,哺乳動物等に対する病原性がないも のを除く。
619,2,-,寄生虫,Physocephalus属全種,哺乳動物等に対する病原性がないも のを除く。
620,2,-,寄生虫,Plagiorchis属全種,哺乳動物等に対する病原性がないも のを除く。
621,2,-,寄生虫,Poteriostomum属全種,哺乳動物等に対する病原性がないも のを除く。
622,2,-,寄生虫,Probstmayria属全種,哺乳動物等に対する病原性がないも のを除く。
623,2,-,寄生虫,Prosthogonimus属全種,哺乳動物等に対する病原性がないも のを除く。
624,2,-,寄生虫,Protostrongylus属全種,哺乳動物等に対する病原性がないも のを除く。
625,2,-,寄生虫,Pseudoterranova属全種,哺乳動物等に対する病原性がないも のを除く。
626,2,-,寄生虫,Psoroptes属全種,哺乳動物等に対する病原性がないも のを除く。
627,2,-,寄生虫,Raillietina属全種,哺乳動物等に対する病原性がないも のを除く。
628,2,-,寄生虫,Rhabditis属全種,哺乳動物等に対する病原性がないも のを除く。
629,2,-,寄生虫,Schistosoma属全種,哺乳動物等に対する病原性がないも のを除く。
630,2,-,寄生虫,旋尾線虫タイプX,哺乳動物等に対する病原性がないも のを除く。
631,2,-,寄生虫,Setaria属全種,哺乳動物等に対する病原性がないも のを除く。
632,2,-,寄生虫,Simondsia属全種,哺乳動物等に対する病原性がないも のを除く。
633,2,-,寄生虫,Skrjabinema属全種,哺乳動物等に対する病原性がないも のを除く。
634,2,-,寄生虫,Sobolevicephalus属全種,哺乳動物等に対する病原性がないも のを除く。
635,2,-,寄生虫,Sparganum proliferum,哺乳動物等に対する病原性がないも のを除く。
636,2,-,寄生虫,Spirocerca属全種,哺乳動物等に対する病原性がないも のを除く。
637,2,-,寄生虫,Spirometra属全種,哺乳動物等に対する病原性がないも のを除く。
638,2,-,寄生虫,Spirura属全種,哺乳動物等に対する病原性がないも のを除く。
639,2,-,寄生虫,Stephanofilaria属全種,哺乳動物等に対する病原性がないも のを除く。
640,2,-,寄生虫,Stephanurus属全種,哺乳動物等に対する病原性がないも のを除く。
641,2,-,寄生虫,Stichorchis属全種,哺乳動物等に対する病原性がないも のを除く。
642,2,-,寄生虫,Stilesia属全種,哺乳動物等に対する病原性がないも のを除く。
643,2,-,寄生虫,Strongyloides属全種,哺乳動物等に対する病原性がないも のを除く。
644,2,-,寄生虫,Strongylus属全種,哺乳動物等に対する病原性がないも のを除く。
645,2,-,寄生虫,Suifilaria属全種,哺乳動物等に対する病原性がないも のを除く。
646,2,-,寄生虫,Syngamus属全種,哺乳動物等に対する病原性がないも のを除く。
647,2,-,寄生虫,Synhimantus属全種,哺乳動物等に対する病原性がないも のを除く。
648,2,-,寄生虫,Taenia属全種,哺乳動物等に対する病原性がないも のを除く。
649,2,-,寄生虫,Tanqua属全種,哺乳動物等に対する病原性がないも のを除く。
650,2,-,寄生虫,Terranova属全種,哺乳動物等に対する病原性がないも のを除く。
651,2,-,寄生虫,Tetrameres属全種,哺乳動物等に対する病原性がないも のを除く。
652,2,-,寄生虫,Thelazia属全種,哺乳動物等に対する病原性がないも のを除く。
653,2,-,寄生虫,Thysaniezia属全種,哺乳動物等に対する病原性がないも のを除く。
654,2,-,寄生虫,Thysanosoma属全種,哺乳動物等に対する病原性がないも のを除く。
655,2,-,寄生虫,Toxascaris属全種,哺乳動物等に対する病原性がないも のを除く。
656,2,-,寄生虫,Toxocara属全種,哺乳動物等に対する病原性がないも のを除く。
657,2,-,寄生虫,Trichinella属全種,哺乳動物等に対する病原性がないも のを除く。
658,2,-,寄生虫,Trichobilharzia属全種,哺乳動物等に対する病原性がないも のを除く。
659,2,-,寄生虫,Trichostrongylus属全種,哺乳動物等に対する病原性がないも のを除く。
660,2,-,寄生虫,Trichuris属全種,哺乳動物等に対する病原性がないも のを除く。
661,2,-,寄生虫,Triodontophorus属全種,哺乳動物等に対する病原性がないも のを除く。
662,2,-,寄生虫,Uncinaria属全種,哺乳動物等に対する病原性がないも のを除く。
663,2,-,寄生虫,Wuchereria bancrofti,哺乳動物等に対する病原性がないも のを除く。
664,2,-,ウイルス,Adenovirus,承認生ワクチン株を除く。
665,2,-,ウイルス,Aichi virus,承認生ワクチン株を除く。
666,2,-,ウイルス,Alcelaphine herpesvirus 1,承認生ワクチン株を除く。
667,2,-,ウイルス,Apoi virus,承認生ワクチン株を除く。
668,2,-,ウイルス,Aroa virus,承認生ワクチン株を除く。
669,2,-,ウイルス,Asama virus,承認生ワクチン株を除く。
670,2,-,ウイルス,Avian encephalomyelitis virus,承認生ワクチン株を除く。
671,2,-,ウイルス,Avian enterovirus,承認生ワクチン株を除く。
672,2,-,ウイルス,Avian hepatitis E virus,承認生ワクチン株を除く。
673,2,-,ウイルス,Avian metapneumovirus (別名Turkey rhinotrachitis virus),承認生ワクチン株を除く。
674,2,-,ウイルス,Avian paramyxovirus(Newcastle disease virus (別名Avian param- yxovirus 1)を含む。),承認生ワクチン株を除く。
675,2,-,ウイルス,Avian orthoreovirus,承認生ワクチン株を除く。
676,2,-,ウイルス,Avian retrovirus,承認生ワクチン株を除く。
677,2,-,ウイルス,Aviastrovirus,承認生ワクチン株を除く。
678,2,-,ウイルス,Avipoxvirus,承認生ワクチン株を除く。
679,2,-,ウイルス,Border disease virus,承認生ワクチン株を除く。
680,2,-,ウイルス,Borna disease virus,承認生ワクチン株を除く。
681,2,-,ウイルス,Bovine astrovirus,承認生ワクチン株を除く。
682,2,-,ウイルス,"Bovine enterovirus 1, 2",承認生ワクチン株を除く。
683,2,-,ウイルス,Bovine ephemeral fever virus,承認生ワクチン株を除く。
684,2,-,ウイルス,Bovine herpesvirus (Bovine herpesvirus 1(別名Infectious bovine rhinotracheitis virus)及びBovine herpesvirus 2(別名Bovine mammillitis virus)を含む。),承認生ワクチン株を除く。
685,2,-,ウイルス,Bovine kobuvirus,承認生ワクチン株を除く。
686,2,-,ウイルス,Bovine papular stomatitis virus,承認生ワクチン株を除く。
687,2,-,ウイルス,Bovine respiratory syncytial virus,承認生ワクチン株を除く。
688,2,-,ウイルス,"Bovine rhinovirus 1, 2, 3",承認生ワクチン株を除く。
689,2,-,ウイルス,Bovine viral diarrhea virus ,承認生ワクチン株を除く。
690,2,-,ウイルス,Canine distemper virus,承認生ワクチン株を除く。
691,2,-,ウイルス,Canine herpesvirus,承認生ワクチン株を除く。
692,2,-,ウイルス,Chicken anemia virus,承認生ワクチン株を除く。
693,2,-,ウイルス,Cowpox virus,承認生ワクチン株を除く。
694,2,-,ウイルス,Coronavirus(SARS coronavirusを除く。),承認生ワクチン株を除く。
695,2,-,ウイルス,Cytomegalovirus ,承認生ワクチン株を除く。
696,2,-,ウイルス,Dengue virus,承認生ワクチン株を除く。
697,2,-,ウイルス,Duck hepatitis virus,承認生ワクチン株を除く。
698,2,-,ウイルス,Duck hepatitis B virus,承認生ワクチン株を除く。
699,2,-,ウイルス,Duck herpesvirus 1 (別名Duck plague virus、Duck enteritis virus),承認生ワクチン株を除く。
700,2,-,ウイルス,Epstein-Barr (略称EB)virus,承認生ワクチン株を除く。
701,2,-,ウイルス,Ectromelia virus,承認生ワクチン株を除く。
702,2,-,ウイルス,Equine arteritis virus,承認生ワクチン株を除く。
703,2,-,ウイルス,Equine herpesvirus,承認生ワクチン株を除く。
704,2,-,ウイルス,Equine rhinovirus (Equine rhinitis A virus及びEquine rhinitis B virusを含む。),承認生ワクチン株を除く。
705,2,-,ウイルス,Feline herpesvirus,承認生ワクチン株を除く。
706,2,-,ウイルス,Feline morbillivirus,承認生ワクチン株を除く。
707,2,-,ウイルス,Fukuoka virus,承認生ワクチン株を除く。
708,2,-,ウイルス,GB virus B,承認生ワクチン株を除く。
709,2,-,ウイルス,Getah virus,承認生ワクチン株を除く。
710,2,-,ウイルス,Goatpox virus,承認生ワクチン株を除く。
711,2,-,ウイルス,Hazara virus,承認生ワクチン株を除く。
712,2,-,ウイルス,Hepatitis A virus,承認生ワクチン株を除く。
713,2,-,ウイルス,Hepatitis B virus,承認生ワクチン株を除く。
714,2,-,ウイルス,Hepatitis C virus,承認生ワクチン株を除く。
715,2,-,ウイルス,Hepatitis D virus,承認生ワクチン株を除く。
716,2,-,ウイルス,Hepatitis E virus,承認生ワクチン株を除く。
717,2,-,ウイルス,Hepatitis G virus,承認生ワクチン株を除く。
718,2,-,ウイルス,"Herpes simplex virus 1, 2",承認生ワクチン株を除く。
719,2,-,ウイルス,Horsepox virus,承認生ワクチン株を除く。
720,2,-,ウイルス,Human astrovirus,承認生ワクチン株を除く。
721,2,-,ウイルス,"Human enterovirus A, B, C, D",承認生ワクチン株を除く。
722,2,-,ウイルス,"Human herpesvirus 6, 7, 8",承認生ワクチン株を除く。
723,2,-,ウイルス,Human immunodeficiency virus(略称HIV)1 (増殖力等欠損株(自立 的な増殖力及び感染力を保持せず、かつ、哺乳動物等に対する病原性 がない株であって、使用等を通じて自立的な増殖力及び感染力又は病 原性を獲得することがないものをいう。以下同じ。)に限る。),承認生ワクチン株を除く。
724,2,-,ウイルス,Human metapneumovirus,承認生ワクチン株を除く。
725,2,-,ウイルス,Human parechovirus,承認生ワクチン株を除く。
726,2,-,ウイルス,Human respiratory syncytial virus,承認生ワクチン株を除く。
727,2,-,ウイルス,Human rhinovirus A,承認生ワクチン株を除く。
728,2,-,ウイルス,Human rhinovirus B,承認生ワクチン株を除く。
729,2,-,ウイルス,Human rhinovirus C,承認生ワクチン株を除く。
730,2,-,ウイルス,Ilheus virus,承認生ワクチン株を除く。
731,2,-,ウイルス,Infectious bursal disease virus ,承認生ワクチン株を除く。
732,2,-,ウイルス,Infectious laryngotracheitis virus Influenza virus (高病原性株を除く。),承認生ワクチン株を除く。
733,2,-,ウイルス,Japanese encephalitis virus Juninvirus (Candid#1株に限る。),承認生ワクチン株を除く。
734,2,-,ウイルス,Khabarovsk virus,承認生ワクチン株を除く。
735,2,-,ウイルス,Lactate dehydrogenase-elevating virus,承認生ワクチン株を除く。
736,2,-,ウイルス,Langat virus,承認生ワクチン株を除く。
737,2,-,ウイルス,Lagovirus,承認生ワクチン株を除く。
738,2,-,ウイルス,LCM(Lymphocytic choriomeningitis)virus,承認生ワクチン株を除く。
739,2,-,ウイルス,Ljungan virus ,承認生ワクチン株を除く。
740,2,-,ウイルス,"Mammalian retrovirus (Human immunodeficiency virus(略称HIV)1, 2を除き、Human T-cell leukemia lymphoma virus(略称HTLV)1, 2 を含む。)",承認生ワクチン株を除く。
741,2,-,ウイルス,Marek's disease virus ,承認生ワクチン株を除く。
742,2,-,ウイルス,Measles virus,承認生ワクチン株を除く。
743,2,-,ウイルス,Meleagrid herpesvirus 2 (別名Turkey herpesvirus),承認生ワクチン株を除く。
744,2,-,ウイルス,Molluscum contagiosum virus,承認生ワクチン株を除く。
745,2,-,ウイルス,Monkeypox virus,承認生ワクチン株を除く。
746,2,-,ウイルス,Mumps virus,承認生ワクチン株を除く。
747,2,-,ウイルス,"Murid herpesvirus 1, 2, 8",承認生ワクチン株を除く。
748,2,-,ウイルス,"Murid herpesvirus 4, 7",承認生ワクチン株を除く。
749,2,-,ウイルス,Murine pneumonia virus (別名Pneumo virus of mice(略称PVM),承認生ワクチン株を除く。
750,2,-,ウイルス,Myxoma virus,承認生ワクチン株を除く。
751,2,-,ウイルス,Nairobi sheep disease virus,承認生ワクチン株を除く。
752,2,-,ウイルス,Nelson Bay orthoreovirus,承認生ワクチン株を除く。
753,2,-,ウイルス,Norovirus,承認生ワクチン株を除く。
754,2,-,ウイルス,Oita virus,承認生ワクチン株を除く。
755,2,-,ウイルス,O'Nyong-Nyong virus,承認生ワクチン株を除く。
756,2,-,ウイルス,Orbivirus (African horse sickness virus を除く。),承認生ワクチン株を除く。
757,2,-,ウイルス,Orf virus,承認生ワクチン株を除く。
758,2,-,ウイルス,Orthobunyavirus,承認生ワクチン株を除く。
759,2,-,ウイルス,Ovine herpesvirus 1 (別名Ovine pulmonary adenomatosis associa- ted herpesvirus),承認生ワクチン株を除く。
760,2,-,ウイルス,Ovine herpesvirus 2,承認生ワクチン株を除く。
761,2,-,ウイルス,Papillomavirus,承認生ワクチン株を除く。
762,2,-,ウイルス,Parainfluenzavirus (Sendaivirusを含む。),承認生ワクチン株を除く。
763,2,-,ウイルス,Parvovirus (Adeno-associated virusを除き、Human parvovirus B19 を含む。),承認生ワクチン株を除く。
764,2,-,ウイルス,Pichinde virus,承認生ワクチン株を除く。
765,2,-,ウイルス,Poikilothermal vertebrate retrovirus,承認生ワクチン株を除く。
766,2,-,ウイルス,"Poliovirus 1, 2, 3",承認生ワクチン株を除く。
767,2,-,ウイルス,Polyomavirus (メルケル細胞ポリオーマウイルスを含む。),承認生ワクチン株を除く。
768,2,-,ウイルス,Porcine astrovirus,承認生ワクチン株を除く。
769,2,-,ウイルス,Porcine circovirus,承認生ワクチン株を除く。
770,2,-,ウイルス,"Porcine enterovirus B (旧分類名Porcine enterovirus 9, 10)",承認生ワクチン株を除く。
771,2,-,ウイルス,Porcine reproductive and respiratory syndrome virus ,承認生ワクチン株を除く。
772,2,-,ウイルス,"Porcine sapelovirus (旧分類名Porcine enterovirus 8, Porcine enterovirus A)",承認生ワクチン株を除く。
773,2,-,ウイルス,Porcine teschovirus,承認生ワクチン株を除く。
774,2,-,ウイルス,Prospect Hill virus ,承認生ワクチン株を除く。
775,2,-,ウイルス,Pseudocowpox virus,承認生ワクチン株を除く。
776,2,-,ウイルス,Psittacine circovirus,承認生ワクチン株を除く。
777,2,-,ウイルス,Rabies virus (固定株及び弱毒化株に限る。),承認生ワクチン株を除く。
778,2,-,ウイルス,Rio Bravo virus,承認生ワクチン株を除く。
779,2,-,ウイルス,Ross river virus,承認生ワクチン株を除く。
780,2,-,ウイルス,Rotavirus,承認生ワクチン株を除く。
781,2,-,ウイルス,Rubella virus,承認生ワクチン株を除く。
782,2,-,ウイルス,Sapovirus,承認生ワクチン株を除く。
783,2,-,ウイルス,Semliki Forest virus (増殖力等欠損株に限る。),承認生ワクチン株を除く。
784,2,-,ウイルス,Sheeppox virus,承認生ワクチン株を除く。
785,2,-,ウイルス,Shope fibroma virus,承認生ワクチン株を除く。
786,2,-,ウイルス,Simian enterovirus A,承認生ワクチン株を除く。
787,2,-,ウイルス,Simian virus 5,承認生ワクチン株を除く。
788,2,-,ウイルス,Simian herpesvirus (Cercopithecine herpesvirus 1(別名B-virus) 及びHerpesatelesvirusを除く。),承認生ワクチン株を除く。
789,2,-,ウイルス,Sindbis virus,承認生ワクチン株を除く。
790,2,-,ウイルス,Suid herpesvirus 1 (別名Pseudorabies virus、Aujeszky's disease virus),承認生ワクチン株を除く。
791,2,-,ウイルス,Suid herpesvirus 2 (別名Pig cytomegalovirus),承認生ワクチン株を除く。
792,2,-,ウイルス,Swinepox virus,承認生ワクチン株を除く。
793,2,-,ウイルス,Swine vesicular disease virus,承認生ワクチン株を除く。
794,2,-,ウイルス,Tacaribe virus,承認生ワクチン株を除く。
795,2,-,ウイルス,Tanapox virus,承認生ワクチン株を除く。
796,2,-,ウイルス,Theilovirus(Murine encephalomyelitis virus (別名Encephalomyo- carditis(略称EMC)virus)を含む。),承認生ワクチン株を除く。
797,2,-,ウイルス,Torovirus,承認生ワクチン株を除く。
798,2,-,ウイルス,Thottapalayam virus,承認生ワクチン株を除く。
799,2,-,ウイルス,Torque teno(略称TT) virus,承認生ワクチン株を除く。
800,2,-,ウイルス,Tula virus,承認生ワクチン株を除く。
801,2,-,ウイルス,Varicella-zoster virus,承認生ワクチン株を除く。
802,2,-,ウイルス,Vesicular stomatitis Alagoas virus,承認生ワクチン株を除く。
803,2,-,ウイルス,Vesicular stomatitis Indiana virus,承認生ワクチン株を除く。
804,2,-,ウイルス,Vesicular stomatitis New Jersey virus,承認生ワクチン株を除く。
805,2,-,ウイルス,Vesivirus,承認生ワクチン株を除く。
806,2,-,ウイルス,Woodchuck hepatitis virus,承認生ワクチン株を除く。
807,2,-,ウイルス,Yaba monkey tumor virus,承認生ワクチン株を除く。
808,2,-,ウイルス,Yokose virus ,承認生ワクチン株を除く。
809,2,-,ウイルス,Rinderpest virus,生ワクチン株に限る。
810,2,-,ウイルス,Vaccinia virus,LC16m8株を除く。
811,3,-,原核生物,Bacillusanthracis(34F2株を除く。),哺乳動物等に対する病原性がないも のを除く。
812,3,-,原核生物,Brucella属全種,哺乳動物等に対する病原性がないも のを除く。
813,3,-,原核生物,Burkholderia mallei,哺乳動物等に対する病原性がないも のを除く。
814,3,-,原核生物,Burkholderia pseudomallei ,哺乳動物等に対する病原性がないも のを除く。
815,3,-,原核生物,Coxiella burnetii,哺乳動物等に対する病原性がないも のを除く。
816,3,-,原核生物,Francisella tularensis subsp. tularensis,哺乳動物等に対する病原性がないも のを除く。
817,3,-,原核生物,Mycobacterium africanum,哺乳動物等に対する病原性がないも のを除く。
818,3,-,原核生物,Mycobacteriumbovis(BCG株を除く。),哺乳動物等に対する病原性がないも のを除く。
819,3,-,原核生物,Mycobacterium tuberculosis,哺乳動物等に対する病原性がないも のを除く。
820,3,-,原核生物,Mycoplasma mycoides subsp. mycoides(V株を除く。),哺乳動物等に対する病原性がないも のを除く。
821,3,-,原核生物,Orientia tsutsugamushi,哺乳動物等に対する病原性がないも のを除く。
822,3,-,原核生物,Pasteurella multocida(出血性敗血症又は家きんコレラ由来ではな い株を除く。),哺乳動物等に対する病原性がないも のを除く。
823,3,-,原核生物,Rickettsia aeschlimannii,哺乳動物等に対する病原性がないも のを除く。
824,3,-,原核生物,Rickettsia africae,哺乳動物等に対する病原性がないも のを除く。
825,3,-,原核生物,Rickettsia akari,哺乳動物等に対する病原性がないも のを除く。
826,3,-,原核生物,Rickettsia amblyommii,哺乳動物等に対する病原性がないも のを除く。
827,3,-,原核生物,Rickettsia australis,哺乳動物等に対する病原性がないも のを除く。
828,3,-,原核生物,Rickettsia canadensis,哺乳動物等に対する病原性がないも のを除く。
829,3,-,原核生物,Rickettsia conorii,哺乳動物等に対する病原性がないも のを除く。
830,3,-,原核生物,Rickettsia felis,哺乳動物等に対する病原性がないも のを除く。
831,3,-,原核生物,Rickettsia heilongjiangensis,哺乳動物等に対する病原性がないも のを除く。
832,3,-,原核生物,Rickettsia helvetica,哺乳動物等に対する病原性がないも のを除く。
833,3,-,原核生物,Rickettsia honei,哺乳動物等に対する病原性がないも のを除く。
834,3,-,原核生物,Rickettsia japonica,哺乳動物等に対する病原性がないも のを除く。
835,3,-,原核生物,Rickettsia massiliae,哺乳動物等に対する病原性がないも のを除く。
836,3,-,原核生物,Rickettsia mongolotimonae,哺乳動物等に対する病原性がないも のを除く。
837,3,-,原核生物,Rickettsia montana,哺乳動物等に対する病原性がないも のを除く。
838,3,-,原核生物,Rickettsia parkeri,哺乳動物等に対する病原性がないも のを除く。
839,3,-,原核生物,Rickettsia prowazekii,哺乳動物等に対する病原性がないも のを除く。
840,3,-,原核生物,Rickettsia raoultii,哺乳動物等に対する病原性がないも のを除く。
841,3,-,原核生物,Rickettsia rhipicephali,哺乳動物等に対する病原性がないも のを除く。
842,3,-,原核生物,Rickettsia rickettsii,哺乳動物等に対する病原性がないも のを除く。
843,3,-,原核生物,Rickettsia sibirica,哺乳動物等に対する病原性がないも のを除く。
844,3,-,原核生物,Rickettsia slovaca,哺乳動物等に対する病原性がないも のを除く。
845,3,-,原核生物,Rickettsia typhi,哺乳動物等に対する病原性がないも のを除く。
846,3,-,原核生物,Salmonella enterica subsp. enterica serovar Paratyphi A,哺乳動物等に対する病原性がないも のを除く。
847,3,-,原核生物,Salmonella enterica subsp. enterica serovar Typhi,哺乳動物等に対する病原性がないも のを除く。
848,3,-,原核生物,Yersinia pestis ,哺乳動物等に対する病原性がないも のを除く。
849,3,-,真菌,Blastomyces dermatitidis,哺乳動物等に対する病原性がないも のを除く。
850,3,-,真菌,Coccidioides immitis,哺乳動物等に対する病原性がないも のを除く。
851,3,-,真菌,Coccidioides posadasii,哺乳動物等に対する病原性がないも のを除く。
852,3,-,真菌,Histoplasma属全種,哺乳動物等に対する病原性がないも のを除く。
853,3,-,真菌,Paracoccidioides braziliensis,哺乳動物等に対する病原性がないも のを除く。
854,3,-,真菌,Penicillium marneffei ,哺乳動物等に対する病原性がないも のを除く。
855,3,-,ウイルス,African horse sickness virus,承認生 ワクチン株を除く。
856,3,-,ウイルス,African swine fever virus,承認生 ワクチン株を除く。
857,3,-,ウイルス,Andes virus,承認生 ワクチン株を除く。
858,3,-,ウイルス,Aravan virus,承認生 ワクチン株を除く。
859,3,-,ウイルス,Ash River virus,承認生 ワクチン株を除く。
860,3,-,ウイルス,Australian bat lyssavirus,承認生 ワクチン株を除く。
861,3,-,ウイルス,Camp Ripley virus,承認生 ワクチン株を除く。
862,3,-,ウイルス,Cao Bang virus,承認生 ワクチン株を除く。
863,3,-,ウイルス,Cercopithecine herpesvirus 1 (別名B-virus),承認生 ワクチン株を除く。
864,3,-,ウイルス,Chikungunya virus,承認生 ワクチン株を除く。
865,3,-,ウイルス,Classical swine fever virus (別名Hog cholera virus),承認生 ワクチン株を除く。
866,3,-,ウイルス,Colorado tick fever virus,承認生 ワクチン株を除く。
867,3,-,ウイルス,Dobrava virus,承認生 ワクチン株を除く。
868,3,-,ウイルス,Duvenhage virus,承認生 ワクチン株を除く。
869,3,-,ウイルス,Eastern equine encephalitis virus,承認生 ワクチン株を除く。
870,3,-,ウイルス,European bat lyssavirus,承認生 ワクチン株を除く。
871,3,-,ウイルス,Foot-and-mouth disease virus,承認生 ワクチン株を除く。
872,3,-,ウイルス,Hantaan virus,承認生 ワクチン株を除く。
873,3,-,ウイルス,Herpes ateles virus,承認生 ワクチン株を除く。
874,3,-,ウイルス,"Human immunodeficiency virus(略称HIV)1 (増殖力等欠損株を除 く。), 2",承認生 ワクチン株を除く。
875,3,-,ウイルス,Imjin virus,承認生 ワクチン株を除く。
876,3,-,ウイルス,Influenza virusの高病原性株,承認生 ワクチン株を除く。
877,3,-,ウイルス,Irkut virus,承認生 ワクチン株を除く。
878,3,-,ウイルス,Jemez Springs virus,承認生 ワクチン株を除く。
879,3,-,ウイルス,Khujand virus,承認生 ワクチン株を除く。
880,3,-,ウイルス,Kyasanur Forest disease virus,承認生 ワクチン株を除く。
881,3,-,ウイルス,Lagos bat virus,承認生 ワクチン株を除く。
882,3,-,ウイルス,Laguna Negra virus,承認生 ワクチン株を除く。
883,3,-,ウイルス,Louping ill virus,承認生 ワクチン株を除く。
884,3,-,ウイルス,Lumpy skin disease virus,承認生 ワクチン株を除く。
885,3,-,ウイルス,Luna virus,承認生 ワクチン株を除く。
886,3,-,ウイルス,Maporal virus,承認生 ワクチン株を除く。
887,3,-,ウイルス,Mayaro virus,承認生 ワクチン株を除く。
888,3,-,ウイルス,MERS coronavirus,承認生 ワクチン株を除く。
889,3,-,ウイルス,Mobala virus,承認生 ワクチン株を除く。
890,3,-,ウイルス,Mokola virus,承認生 ワクチン株を除く。
891,3,-,ウイルス,Mopeia virus,承認生 ワクチン株を除く。
892,3,-,ウイルス,Murray Valley encephalitis virus,承認生 ワクチン株を除く。
893,3,-,ウイルス,Negishi virus ,承認生 ワクチン株を除く。
894,3,-,ウイルス,New York virus,承認生 ワクチン株を除く。
895,3,-,ウイルス,Omsk hemorrhagic fever virus,承認生 ワクチン株を除く。
896,3,-,ウイルス,Peste-des-pettiis ruminant virus,承認生 ワクチン株を除く。
897,3,-,ウイルス,Powassan virus,承認生 ワクチン株を除く。
898,3,-,ウイルス,Puumala virus,承認生 ワクチン株を除く。
899,3,-,ウイルス,Rabies virus (固定株及び弱毒化株を除く。),承認生 ワクチン株を除く。
900,3,-,ウイルス,Rift Valley fever virus,承認生 ワクチン株を除く。
901,3,-,ウイルス,Rinderpest virus,承認生 ワクチン株を除く。
902,3,-,ウイルス,Saaremaa virus,承認生 ワクチン株を除く。
903,3,-,ウイルス,SARS coronavirus,承認生 ワクチン株を除く。
904,3,-,ウイルス,Seewis virus,承認生 ワクチン株を除く。
905,3,-,ウイルス,Semliki Forest virus (増殖力等欠損株を除く。),承認生 ワクチン株を除く。
906,3,-,ウイルス,Seoul virus,承認生 ワクチン株を除く。
907,3,-,ウイルス,Severe fever with thrombocytopenia syndrome virus,承認生 ワクチン株を除く。
908,3,-,ウイルス,Sin Nombre virus,承認生 ワクチン株を除く。
909,3,-,ウイルス,St. Louis encephalitis virus,承認生 ワクチン株を除く。
910,3,-,ウイルス,Tacaribe virus,承認生 ワクチン株を除く。
911,3,-,ウイルス,Tanganya virus,承認生 ワクチン株を除く。
912,3,-,ウイルス,Thailand virus,承認生 ワクチン株を除く。
913,3,-,ウイルス,Tick-borne encephalitis virus (Russian spring-summer encephal- itisvirusを含む。),承認生 ワクチン株を除く。
914,3,-,ウイルス,Venezuelan equine encephalitis virus,承認生 ワクチン株を除く。
915,3,-,ウイルス,West Caucasian bat virus,承認生 ワクチン株を除く。
916,3,-,ウイルス,Western equine encephalitis virus,承認生 ワクチン株を除く。
917,3,-,ウイルス,West Nile virus (Kunjin virusを含む。),承認生 ワクチン株を除く。
918,3,-,ウイルス,Yellow fever virus ,承認生 ワクチン株を除く。
919,4,-,ウイルス,Bundibugyo ebolavirus,承認生 ワクチン株を除く。
920,4,-,ウイルス,Chapare virus,承認生 ワクチン株を除く。
921,4,-,ウイルス,Crimean-Congo hemorrhagic fever virus,承認生 ワクチン株を除く。
